id,brand,category,event,event_text,name,original_timestamp,timestamp,price,product_id,quantity
ajs-next-e90aae77a496ad71a8ff1ea473b082a8,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-18 04:53:10.834 UTC,2023-03-18 04:53:13.277 UTC,,,
ajs-next-20ab4d4d46b4d99ab538604052c9f607,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-01 11:04:47.527 UTC,2023-01-01 11:04:49.801 UTC,,,
ajs-next-bdea0365ae3a8426eaa2e98d5a9b1c67,,,product_added_to_wishlist,Product Added to Wishlist,,2022-12-04 00:18:22.287 UTC,2022-12-04 00:18:23.438 UTC,,,
ajs-next-7e1d3bace6a456d9e595a46533cdb7b2,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 07:01:38.267 UTC,2023-01-23 07:01:40.913 UTC,,,
ajs-next-ce7fbea0d4cc53d9baba3b5a2fbe1976,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 07:01:38.262 UTC,2023-01-23 07:01:40.712 UTC,,,
ajs-next-deccb7759e193fa24c8b5d3e64b14ef0,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 09:22:42.145 UTC,2023-01-23 09:22:44.081 UTC,,,
ajs-next-5fd6abdbed394d259fe7cf80bce413d1,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 19:50:04.208 UTC,2023-01-23 19:50:07.069 UTC,,,
ajs-next-aee94ff9f4c247f9273ce243eebe4a29,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-21 03:53:00.433 UTC,2023-03-21 03:53:02.168 UTC,,,
ajs-next-7eebed70944cdf2f39b32714723e9038,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-21 00:21:10.231 UTC,2023-03-21 00:21:12.26 UTC,,,
ajs-next-02267c68ea16eece2617826763fb7cf9,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-21 13:46:00.202 UTC,2023-03-21 13:46:02.577 UTC,,,
ajs-next-58f60a1ef38ce8e35d0bd18cbf6263df,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-14 01:10:26.443 UTC,2023-02-14 01:10:29.665 UTC,,,
ajs-next-da43e9644d70b53d0148431c403f8e27,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-05 19:33:00.348 UTC,2023-02-05 19:33:04.287 UTC,,,
ajs-next-6b496b0afb83c40fafc62ed441466e23,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-06 10:40:54.574 UTC,2023-02-06 10:40:57.434 UTC,,,
ajs-next-3ac42568cce1f35d3ea7db078d07901c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-15 09:00:08.475 UTC,2023-03-15 09:00:11.451 UTC,,,
ajs-next-6783716e58f787cb4c4be603130c2048,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-11 03:48:37.275 UTC,2023-03-11 03:48:40.196 UTC,,,
ajs-next-fc56c95ca731f313ba15b0ae0ba37eda,,,product_added_to_wishlist,Product Added to Wishlist,,2022-09-03 04:25:26.81 UTC,2022-09-03 04:25:30.507 UTC,,,
ajs-next-36b4fe12d28027840b7ef4c6881c0b40,,,product_added_to_wishlist,Product Added to Wishlist,,2022-12-16 15:16:34.563 UTC,2022-12-16 15:16:36.267 UTC,,,
ajs-next-e84e521ed0454b5f7f3644c4533aeb68,,,product_added_to_wishlist,Product Added to Wishlist,,2022-12-16 15:06:11.073 UTC,2022-12-16 15:06:14.117 UTC,,,
ajs-next-3e3c21cf5e1617a3b3148b9b73616bb6,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-13 02:56:56.196 UTC,2023-03-13 02:56:58.705 UTC,,,
ajs-next-9889d6aa3e17c32709af1b60342d3bed,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-13 07:07:46.882 UTC,2023-03-13 07:07:49.589 UTC,,,
ajs-next-3e3bdc18e10e524a5b6b1d71e8ea1879,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-16 03:27:15.863 UTC,2023-01-16 03:27:17.695 UTC,,,
ajs-next-a1155ef73e8216cf607ee7c645094249,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-16 21:14:00.069 UTC,2023-01-16 21:14:03.04 UTC,,,
ajs-next-3fcbc3921e83f42ef0ae1d057556a41c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-27 03:12:17.095 UTC,2023-02-27 03:12:19.082 UTC,,,
ajs-next-0c0700bb4abca896a161ae1f92926959,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-27 16:21:59.614 UTC,2023-02-27 16:22:02.823 UTC,,,
ajs-next-6093ad00a7c076506deadcb0386a8703,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-03 18:47:23.342 UTC,2023-02-03 18:47:25.257 UTC,,,
ajs-next-b15190969a41c4dbd1cab5bb602843ff,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-04 14:16:16.036 UTC,2023-03-04 14:16:18.355 UTC,,,
ajs-next-48faf4ade88156b5633728e6a9ce698b,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-04 20:33:32.223 UTC,2023-03-04 20:33:33.696 UTC,,,
ajs-next-e11741f38056f5dd4ada43a95a980412,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-08 14:53:58.945 UTC,2022-10-08 14:54:01.446 UTC,,,
ajs-next-790468ad51c925634ecac815898e380b,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-15 15:03:48.27 UTC,2023-01-15 15:03:52.461 UTC,,,
ajs-next-ed2ecb0b39ed813a342c6ef0805c59e9,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-24 18:57:46.209 UTC,2023-01-24 18:57:48.868 UTC,,,
ajs-next-b398fb8bd4c7e5df3ead3c0f41553ab8,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-17 18:59:35.433 UTC,2023-01-17 18:59:37.85 UTC,,,
ajs-next-857f05f539c8db328561c10f98f859b9,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-07 01:54:23.934 UTC,2023-02-07 01:54:26.272 UTC,,,
ajs-next-a41082440a0ded37eef2fa922208afa4,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-22 10:59:20.981 UTC,2023-03-22 10:59:23.778 UTC,,,
ajs-next-c652de36999dac042416e34b5297c826,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-26 08:29:40.118 UTC,2023-01-26 08:29:41.833 UTC,,,
