id,event,event_text,original_timestamp,timestamp,products
e10eab91-1531-4411-b698-b2767748aeb3,order_completed,Order Completed,2023-03-19 05:50:30.338000 UTC,2023-03-19 05:50:31.402000 UTC,"[{""brand"":""Blue Heaven"",""category"":""Lipstick"",""coupon"":"""",""name"":""Blue Heaven Creme Riche HD Lipstick - 106 Red (4g)"",""price"":63,""product_id"":""7542332"",""quantity"":1},{""brand"":""Beauty People"",""category"":""Nail Polish"",""coupon"":"""",""name"":""Beauty People Mini Pro Nail Paints Bright Lily 213 (5.5ml)"",""price"":39,""product_id"":""7530782"",""quantity"":1},{""brand"":""Maybelline New York"",""category"":""Compact"",""coupon"":"""",""name"":""Maybelline New York Fit Me 12Hr Oil Control Compact SPF 28 - 115 Ivory (8g)"",""price"":224,""product_id"":""7540732"",""quantity"":1},{""brand"":""Lakme"",""category"":""Foundation"",""coupon"":"""",""name"":""Lakme Perfecting Liquid Foundation - Shell (27ml)"",""price"":131,""product_id"":""7540471"",""quantity"":1},{""brand"":""Neyah"",""category"":""Nail Polish"",""coupon"":"""",""name"":""Neyah Quick Dry Nail Paint - Honey Glaze (5.5ml)"",""price"":45,""product_id"":""7513444"",""quantity"":1}]"
6416d4b0-43da-477a-94fe-cc33b5c73f96,order_completed,Order Completed,2023-03-19 14:31:45.206000 UTC,2023-03-19 14:31:45.822000 UTC,"[{""brand"":""C.A.L Los Angeles"",""category"":""Lipstick"",""coupon"":"""",""name"":""C.A.L Los Angeles Intense Matte Lipstick - Plum (3.5g)"",""price"":208,""product_id"":""7525395"",""quantity"":1},{""brand"":""Faces Canada"",""category"":""Lipstick"",""coupon"":"""",""name"":""Faces Canada Weightless Creme Finish Lipstick - 05 Summer Ready (4g)"",""price"":174,""product_id"":""7513763"",""quantity"":1},{""brand"":""Faces Canada"",""category"":""Kajal"",""coupon"":"""",""name"":""Faces Canada Magneteyes Kajal - Deep Black (0.35g)"",""price"":134,""product_id"":""7509916"",""quantity"":1}]"
ajs-next-2803ce1b44817993fcd9b3dc39f6d0bd,order_completed,Order Completed,2023-04-05 07:58:33.711000 UTC,2023-04-05 07:58:33.966000 UTC,"[{""brand"":""Clinic Plus"",""category"":""Shampoo"",""name"":""Clinic Plus Strong \u0026 Long Health Shampoo (30ml)"",""price"":10,""product_id"":7551959,""quantity"":2}]"
ajs-next-be004dc55b7bc43f15c2e59150d70cbf,order_completed,Order Completed,2023-04-05 11:49:58.158000 UTC,2023-04-05 11:49:58.325000 UTC,"[{""brand"":""Neutrogena"",""category"":""Face Wash"",""name"":""Neutrogena Oil Free Acne Face Wash - (175ml)"",""price"":607,""product_id"":7527838,""quantity"":1}]"
ajs-next-8e9c09002ca347cd30ec6afb5ab79cdd,order_completed,Order Completed,2023-04-08 03:15:18.406000 UTC,2023-04-08 03:15:19.419000 UTC,"[{""brand"":""SUGAR Cosmetics"",""category"":""Kajal"",""name"":""Sugar Kohl Of Honour Intense Kajal - 01 Black Out (Single Blister) (0.25g)"",""price"":221,""product_id"":7501486,""quantity"":1},{""brand"":""M.A.C"",""category"":""Face Primer"",""name"":""M.A.C Prep + Prime Fix+ - Original (100ml)"",""price"":1950,""product_id"":7519188,""quantity"":1},{""brand"":""Too Faced"",""category"":""Concealer"",""name"":""Too Faced Born This Way Super Coverage Concealer - Natural Beige (13.5ml)"",""price"":2350,""product_id"":7535174,""quantity"":1}]"
ajs-next-a5e98f9c03f6b219fdf45532565ed396,order_completed,Order Completed,2023-02-06 10:50:05.031000 UTC,2023-02-06 10:50:08.228000 UTC,"[{""brand"":""Faces Canada"",""name"":""Faces Canada Magneteyes Kajal - Deep Black (0.35g)"",""price"":179,""product_id"":7509916,""quantity"":1},{""brand"":""The Man Company"",""name"":""The Man Company Ocean Eau De Parfum (30ml)"",""price"":377.37,""product_id"":7536090,""quantity"":1}]"
ajs-next-ee5d84d5203cc630c687af50a38888fd,order_completed,Order Completed,2022-11-03 07:56:55.685000 UTC,2022-11-03 07:56:57.031000 UTC,"[{""item_brand"":""L.A. Colors"",""item_id"":7515886,""item_name"":""L.A. Colors Matte Lipstick - Maroon (3.2g)""}]"
ajs-next-c3513f14acc3d375a3d61b722037a4dd,order_completed,Order Completed,2023-02-15 16:27:27.623000 UTC,2023-02-15 16:27:27.953000 UTC,"[{""brand"":""KAMA Ayurveda"",""name"":""Kama Ayurveda Pure Rose Water Mist (50ml)"",""price"":425,""product_id"":7508854,""quantity"":1},{""brand"":""Innisfree"",""name"":""Innisfree Super Volcanic Pore Clay Mask (20ml)"",""price"":350,""product_id"":7522552,""quantity"":1},{""brand"":""Re'equil"",""name"":""Re'equil Ultra Matte Dry Touch Sunscreen Gel SPF 50 (50g)"",""price"":780,""product_id"":7523262,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist 2% Hyaluronic Acid Face Serum for Glowing Skin Intense Hydration \u0026 Fines Lines - (30ml)"",""price"":599,""product_id"":7532168,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist 10% Vitamin C Face Serum - (30ml)"",""price"":699,""product_id"":7532252,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist 0.3% Retinol Face Serum With Coenzyme Q10 For Reduces Fine Lines \u0026 Wrinkles - (30ml)"",""price"":599,""product_id"":7532262,""quantity"":1}]"
ajs-next-eba3cd68cd22259b51633ba6a58d3279,order_completed,Order Completed,2023-02-15 19:28:59.646000 UTC,2023-02-15 19:28:59.818000 UTC,"[{""brand"":""Garnier"",""name"":""Garnier Black Naturals Hair Colour - 2 Original Black (20ml+20g)"",""price"":42,""product_id"":7539830,""quantity"":1},{""brand"":""Dove"",""name"":""Dove Cream Beauty Bathing Bar Soap - (50g)"",""price"":27,""product_id"":7547386,""quantity"":1}]"
ajs-next-7ea73e2e6b85a55930942ed30e440ca6,order_completed,Order Completed,2023-03-08 07:45:11.556000 UTC,2023-03-08 07:45:11.670000 UTC,"[{""brand"":""L'Oreal Paris"",""name"":""L'Oreal Paris Infallible 24H Fresh Wear Foundation, 300 Amber"",""price"":960,""product_id"":7501214,""quantity"":1},{""brand"":""CLINIQUE"",""name"":""Clinique Moisture Surge 100H Auto Replenishing Hydrator (30ml)"",""price"":1800,""product_id"":7543062,""quantity"":1}]"
ajs-next-9e94f00fb8c6f22bd321126e57a76215,order_completed,Order Completed,2023-03-11 10:11:16.561000 UTC,2023-03-11 10:11:17.234000 UTC,"[{""brand"":""Vega"",""name"":""Cushion Brush, (E18-CB)"",""price"":337,""product_id"":7507890,""quantity"":1},{""brand"":""Sirona"",""name"":""Sirona Natural Intimate Wet Wipes (20Pcs)"",""price"":123,""product_id"":7518029,""quantity"":1},{""brand"":""Ustraa"",""name"":""Ustraa De-Tans Face Scrub - (100g)"",""price"":280,""product_id"":7531164,""quantity"":1},{""brand"":""Pond's"",""name"":""Pond's Pure Detox Face Gel Scrub For Deep Cleansing - (100g)"",""price"":206,""product_id"":7531552,""quantity"":1},{""brand"":""Armaf"",""name"":""Armaf Tag Him Deodorant Body Spray (200ml)"",""price"":314,""product_id"":7545242,""quantity"":1},{""brand"":""Brut"",""name"":""Brut Oceans Deodorant Spray (200ml)"",""price"":211,""product_id"":7548893,""quantity"":1}]"
754AEAC5-131C-4780-A5EA-9C74DB061894,order_completed,Order Completed,2023-02-16 17:18:29.015000 UTC,2023-02-16 17:18:29.151000 UTC,"[{""brand"":""Dove"",""category"":""Soaps"",""coupon"":"""",""currency"":""INR"",""name"":""Dove Cream Beauty Bathing Bar Soap - (50g)"",""price"":27,""product_id"":""7547386"",""quantity"":1}]"
ajs-next-59c65cf48f8ad9215128ee17a30928a8,order_completed,Order Completed,2023-03-06 16:26:10.411000 UTC,2023-03-06 16:26:10.786000 UTC,"[{""brand"":""Plum"",""name"":""Plum Green Tea Pore Cleansing Facewash - (120ml)"",""price"":237,""product_id"":7531371,""quantity"":1},{""brand"":""Plum"",""name"":""Plum Green Tea Renewed Clarity Night Gel - (50ml)"",""price"":511,""product_id"":7531656,""quantity"":1},{""brand"":""Olay"",""name"":""Olay Age Protect Anti-Ageing Moisturizer (18g)"",""price"":199,""product_id"":7547581,""quantity"":1}]"
C7BA6EF7-E3CA-4E91-BC3D-841212EDD8D3,order_completed,Order Completed,2023-02-10 17:11:25.006000 UTC,2023-02-10 17:11:25.158000 UTC,"[{""brand"":""Smashbox"",""category"":""Face Primer"",""coupon"":"""",""currency"":""INR"",""name"":""Smashbox The Original Photo Finish Foundation Primer Travel Size (10ml)"",""price"":1550,""product_id"":""7540960"",""quantity"":1}]"
faceeaf0-e113-4e78-8deb-bfb793696a26,order_completed,Order Completed,2023-04-05 18:16:03.099000 UTC,2023-04-05 18:16:04.215000 UTC,"[{""brand"":""Minimalist"",""category"":""Serums \u0026 Essences"",""coupon"":"""",""name"":""Minimalist 10% Niacinamide Face Serum Reduces Blemishes \u0026 Oil - (30ml)"",""price"":569,""product_id"":""7532238"",""quantity"":1},{""brand"":""La Shield"",""category"":""Face Sunscreen"",""coupon"":"""",""name"":""La Shield Pollution Protect Mineral Sunscreen Gel SPF 50 (50g)"",""price"":299,""product_id"":""7548399"",""quantity"":1},{""brand"":""Ajmal"",""category"":""Womens Deodorants \u0026 Roll-Ons"",""coupon"":"""",""name"":""Ajmal Aurum \u0026 Wisal Deo \u0026 Wisal Deodorant Spray for Women - Pack of 3 (200ml Each)"",""price"":478,""product_id"":""7516971"",""quantity"":1},{""brand"":""Biotique"",""category"":""Face Wash"",""coupon"":"""",""name"":""Biotique Bio Neem Purifying Facewash - (150ml)"",""price"":155,""product_id"":""7531230"",""quantity"":1}]"
b48864cf-d7dd-49a6-bf62-6acf0de554e5,order_completed,Order Completed,2023-04-06 16:50:07.678000 UTC,2023-04-06 16:50:08.089000 UTC,"[{""brand"":""The Derma Co"",""category"":""Face Wash"",""coupon"":"""",""name"":""The Derma Co 3% Niacinamide Foaming Daily Face Wash (100ml)"",""price"":317,""product_id"":""7549752"",""quantity"":1},{""brand"":""Plum"",""category"":""Serums \u0026 Essences"",""coupon"":"""",""name"":""Plum 10% Niacinamide Face Serum with Rice Water - (15ml)"",""price"":360,""product_id"":""7532261"",""quantity"":1}]"
e827c67e-3925-4746-adb9-02f811677f75,order_completed,Order Completed,2023-03-24 13:44:21.879000 UTC,2023-03-24 13:44:23.394000 UTC,"[{""brand"":""Ustraa"",""category"":""Hair Stylings"",""coupon"":"""",""name"":""Ustraa Hair Growth Vitalizer Serum - (100ml)"",""price"":559,""product_id"":""7528458"",""quantity"":1},{""brand"":""Bold Care"",""category"":""Hair Oil"",""coupon"":"""",""name"":""Bold Care 5% Minoxidil Foam Hair Regrowth Solution (60ml)"",""price"":647,""product_id"":""7520811"",""quantity"":1}]"
e264d1a2-ad6b-4039-8a7d-4def05539d83,order_completed,Order Completed,2023-02-20 07:17:27.013000 UTC,2023-02-20 07:17:29.275000 UTC,"[{""brand"":""Re'equil"",""category"":""Face Moisturiser"",""coupon"":"""",""name"":""Re'equil Ceramide \u0026 Hyaluronic Acid Moisturizer (100g)"",""price"":395,""product_id"":""7521859"",""quantity"":1},{""brand"":""SUGAR Cosmetics"",""category"":""Eye Creams \u0026 Serums"",""coupon"":"""",""name"":""Sugar Coffee Culture Eye Firming Cream (15ml)"",""price"":399,""product_id"":""7531731"",""quantity"":1},{""brand"":""Vaseline"",""category"":""Body Lotions \u0026 Moisturisers"",""coupon"":"""",""name"":""Vaseline Revitalizing Green Tea Body Lotion - (400ml)"",""price"":327.77,""product_id"":""7527298"",""quantity"":1}]"
